title,description,source,access,date,lang,issue,tags,
Canada's Spatial Data Infrastructure,"Learn more about the components of Canadian Geospatial Data Infrastructure (CGDI) - a foundation of policies, standards, information, etc. that supports spatial data best-practices. ",https://www.nrcan.gc.ca/science-data/science-research/earth-sciences/geomatics/canadas-spatial-data-infrastructure/10783,,,en,20-Dec,"methods, data, blog",
Infrastructure canadienne de données géospatiales,"Apprenez-en davantage sur les composantes de l'Infrastructure canadienne de données géospatiales (ICDG) - une base de politiques, de normes, d'information, etc. qui soutient les meilleures pratiques en matière de données spatiales. ",https://www.rncan.gc.ca/science-donnees/science-recherche/sciences-de-la-terre/geomatique/infrastructure-canadienne-donnees-geospatiales/18771?_ga=2.153461306.34047681.1607528606-1879315899.1606165280,,,fr,20-Dec,"méthodes, données",
A large-scale change monitoring of wetlands using time series Landsat imagery on Google Earth Engine: a case study in Newfoundland,Assessing change in wetland environments and stabilit of different classes of wetland over a 30-year time-period using a cloud-based geospatial platform.,https://www.researchgate.net/publication/346009120_A_large-scale_change_monitoring_of_wetlands_using_time_series_Landsat_imagery_on_Google_Earth_Engine_a_case_study_in_Newfoundland,,,en,20-Dec,"journal, environment, methods",
Une surveillance des changements à grande échelle des zones humides à l'aide de séries chronologiques d'images Landsat sur Google Earth Engine : une étude de cas à Terre-Neuve,Évaluer les changements dans les environnements des zones humides et la stabilité des différentes catégories de zones humides sur une période de 30 ans en utilisant une plateforme géospatiale basée sur les nuages.,https://www.researchgate.net/publication/346009120_A_large-scale_change_monitoring_of_wetlands_using_time_series_Landsat_imagery_on_Google_Earth_Engine_a_case_study_in_Newfoundland,,,fr,20-Dec,"revue, environnement, méthodes",
"For Chesapeake Bay watershed, new app can reveal where land is helping — or hurting — water quality",The Land-Water Explorer app brings together data from high resolution LiDAR land cover and water quality to explore local watershed issues.,https://www.capitalgazette.com/environment/ac-cn-chesapeake-conservancy-water-app-20201129-smhzeaeop5hgzn2xf3uf5kguda-story.html,,,en,20-Dec,"news, visuals, environment",
"Pour le bassin hydrographique de la baie de Chesapeake, une nouvelle application peut révéler où les terres contribuent - ou nuisent - à la qualité de l'eau",L'application Land-Water Explorer rassemble des données lidar haute résolution sur la couverture terrestre et la qualité de l'eau afin d'explorer les problèmes liés aux bassins hydrographiques locaux.,https://www.capitalgazette.com/environment/ac-cn-chesapeake-conservancy-water-app-20201129-smhzeaeop5hgzn2xf3uf5kguda-story.html,,,fr,20-Dec,"nouvelles, visuels, environnement",
Dealing with Geospatial Raster Data in Python with Rasterio,"A blog post discussing processing methods using python package, Rasterio, which can read data and satellite bands, mask, transform, and plot satellite imagery.",https://medium.com/@mommermiscience/dealing-with-geospatial-raster-data-in-python-with-rasterio-775e5ba0c9f5,2020-12-09,2020-09-16,en,21-Jan,"blog, methods, data",
How To Compute Satellite Image Statistics And use It In Pandas,An example of calculating NDVI for flooded areas using python package pandas and Sentinel-2 imagery.,https://towardsdatascience.com/how-to-compute-satellite-image-statistics-and-use-it-in-pandas-81864a489144,2020-12-09,2019-11-12,en,21-Jan,"blog, methods, envrionment",
Remote Sensing of Forest Fragmentation and Drought,Examples that explore environmental observations with Google Earth Engine and various satellites.,https://medium.com/age-of-awareness/remote-sensing-of-forest-fragmentation-and-drought-eff1d205d415?source=email-e159170ad044-1606992018912-digest.reader------0-58------------------f9ca0fc1_7708_401a_8b59_bf73d5035991-1-48d1dee2_2cdb_4bb2_8fff_d17d43f7b46d----,2020-12-09,2020-11-12,en,21-Jan,"blog, agriculture",
"Site-specific management of common olive: Remote sensing, geospatial, and advanced image processing applications",Determining the digital signature of healthy olive trees in Iran as part of precision agriculture efforts.,https://www.sciencedirect.com/science/article/abs/pii/S0168169916305609,2020-12-14,2016-09-01,en,21-Jan,"journal, agriculture, methods",
Mapping peat in Scotland with remote sensing and site characteristics ,"Using remote sensing and spatial covariates to map peat, a vegetable deposit commonly extracted for biofuels.",https://onlinelibrary.wiley.com/doi/abs/10.1111/ejss.12393,2020-12-10,2016-09-15,en,21-Jan,"journal, industry, methods, agriculture, environment",
€8.4M granted by the European Commission to develop Artificial Intelligence platform for comprehensive monitoring of mining sites,Goldeneye is a 3-year project that will develop artificial intelligence methods to develop solutions to environmental impact and profitiability of mine sites across Europe.,https://medium.com/optoss/press-release-8-4m-a4c429b905fb,2020-12-14,2020-08-20,en,21-Jan,"news, industry, methods",
Taking a Measure of Sea Level Rise: Gravimetry,Gravimetry weighs earth's ice by its gravitational pull on satellites. The 2018 launch of GRACE by NASA and the German Research Center for Geosciences aims to replace extrapolation methods and improve precision when it comes to determining mass changes on earth.,https://earthobservatory.nasa.gov/images/147437/taking-a-measure-of-sea-level-rise-gravimetry,2020-12-18,2020-08-31,en,21-Jan,"news, industry, environment",
Overhauled app aids farmers’ entry to carbon market,An Australian app connects farmers to potential rebates from the Climate Solutions Fund (CSF).,https://osgis.org/2020/12/overhauled-app-aids-farmers-entry-to-carbon-market/,2020-12-18,2020-12-11,en,21-Jan,"news, industry, agriculture",
Google AI Project Recreating Historical Streetscapes in 3D – Spatially Adjusted,"A new website, r?, will offer 3-dimensional historical recreations of cities created from pre-existing photos and maps.",https://osgis.org/2020/11/google-ai-project-recreating-historical-streetscapes-in-3d-spatially-adjusted-2/,2020-12-18,2020-11-13,en,21-Jan,"blog, methods, industry",
Traitement des données géospatiales matricielles en langage Python avec Rasterio,"Un billet de blogue sur les méthodes de traitement qui font appel au progiciel Rasterio (en langage Python), qui peut lire les données et les bandes satellite ainsi que masquer, transformer et représenter graphiquement les images satellite.",https://medium.com/@mommermiscience/dealing-with-geospatial-raster-data-in-python-with-rasterio-775e5ba0c9f5,2020-12-09,2020-09-16,fr,21-Jan,"blog, méthodes, données",
Comment calculer des statistiques à partir d’images satellite et les utiliser dans Pandas,"Exemple de calcul d’IVDN pour les zones inondées en utilisant Pandas, une bibliothèque Python, et les images de Sentinel?2.",https://towardsdatascience.com/how-to-compute-satellite-image-statistics-and-use-it-in-pandas-81864a489144,2020-12-09,2019-11-12,fr,21-Jan,"blog, méthodes, environnement",
Télédétection du morcellement forestier et de la sécheresse,Exemples portant sur des observations environnementales effectuées avec le moteur Google Earth et différents satellites.,https://medium.com/age-of-awareness/remote-sensing-of-forest-fragmentation-and-drought-eff1d205d415?source=email-e159170ad044-1606992018912-digest.reader------0-58------------------f9ca0fc1_7708_401a_8b59_bf73d5035991-1-48d1dee2_2cdb_4bb2_8fff_d17d43f7b46d----,2020-12-09,2020-11-12,fr,21-Jan,"blog, agriculture, méthodes",
"Gestion de l’olivier commun en fonction du site : télédétection, données géospatiales et applications de traitement d’images de pointe","Déterminer la signature numérique des oliviers sains en Iran, dans le contexte de travaux d’agriculture de précision (exploitation localisée).",https://www.sciencedirect.com/science/article/abs/pii/S0168169916305609,2020-12-14,2016-09-01,fr,21-Jan,"revue, agriculture",
"Cartographie de la tourbe en Écosse, avec télédétection et caractéristiques des sites ","Utiliser la télédétection et des covariables spatiales pour cartographier la tourbe, un dépôt de matière organique servant à la production de biocarburants.",https://onlinelibrary.wiley.com/doi/abs/10.1111/ejss.12393,2020-12-10,2016-09-15,fr,21-Jan,"revue, industrie, méthodes, agriculture, environnement",
"Octroi de 8,4 M€ par la Commission européenne afin d’élaborer une plateforme d’intelligence artificielle pour la surveillance systématique des sites miniers",Goldeneye est un projet de trois ans qui a pour objet d’élaborer des méthodes reposant sur l’intelligence artificielle afin de mettre au point des solutions axées sur l’incidence environnementale et sur la rentabilité des sites d’exploitation minière en Europe.,https://medium.com/optoss/press-release-8-4m-a4c429b905fb,2020-12-14,2020-08-20,fr,21-Jan,"nouvelles, industrie, méthodes",
Mesurer l’élévation du niveau de la mer : gravimétrie,"La gravimétrie est utilisée pour mesurer le poids de la glace terrestre d’après l’attraction gravitationnelle qu’elle exerce sur des satellites. Lancés en 2018 par la NASA et le centre allemand de recherche en géosciences, les satellites GRACE doivent permettre de remplacer les méthodes d’extrapolation et à produire des résultats plus précis aux fins de déterminer les changements dans la masse du globe.",https://earthobservatory.nasa.gov/images/147437/taking-a-measure-of-sea-level-rise-gravimetry,2020-12-18,2020-08-31,fr,21-Jan,"nouvelles, industrie, environnement",
Remaniement d’une application pour aider les agriculteurs à entrer sur le marché du carbone,"Une application australienne qui permet aux agriculteurs de se prévaloir de remises possibles dans le cadre d’un fonds national australien, le Climate Solutions Fund (CSF).",https://osgis.org/2020/12/overhauled-app-aids-farmers-entry-to-carbon-market/,2020-12-18,2020-12-11,fr,21-Jan,"nouvelles, industrie, agriculture",
"Projet d’IA de Google pour représenter des paysages urbains du passé en trois dimensions, avec ajustement spatial","Un nouveau site Internet, r?, proposera des recréations historiques de villes en trois dimensions, à partir de photos et de cartes existantes.",https://osgis.org/2020/11/google-ai-project-recreating-historical-streetscapes-in-3d-spatially-adjusted-2/,2020-12-18,2020-11-13,fr,21-Jan,"blog, méthodes, industrie",
How to Download Dataset from OpenStreetMap?,"A quick introduction into the benefits of OpenStreetMap data, and the various methods of downloading the data based on the type/region of data you require. Download services/tools include in the article include; GeoFabrik, BBBike, Planet OSM, Overpass, Download-osm, and osmosis.",https://towardsdatascience.com/beginner-guide-to-download-the-openstreetmap-gis-data-24bbbba22a38,,2020-04-10,en,21-Jan,"blog, data, methods",
Comment télécharger des ensembles de données à partir d’OpenStreetMap?,"Une introduction rapide aux avantages des données d’OpenStreetMap et aux différentes méthodes de téléchargement des données en fonction du type ou de la région de données dont vous avez besoin. Les services ou les outils de téléchargement dont il est question dans l’article comprennent GeoFabrik, BBBike, Planet OSM, Overpass, Download-osm et osmosis.",https://towardsdatascience.com/beginner-guide-to-download-the-openstreetmap-gis-data-24bbbba22a38,,2020-04-10,fr,21-Jan,"blog, données, méthodes",
Evaluating the Performance of Three Popular Web Mapping Libraries: A Case Study Using Argentina’s Life Quality Index,"A comparison of the web mapping libraries: Mapbox GL JS, OpenLayers, and Leaflet on a variety of hardware, and using different data formats for implementing web maps (vector, raster, and raw data). The evaluation discusses the varying levels of support for these formats, differences in performance regarding time to execution of the map and network usage, and provides a comparison between the three different libraries.",https://www.mdpi.com/2220-9964/9/10/563,,2020-09-29,en,21-Jan,"journal, methods, visuals",
Évaluation du rendement de trois bibliothèques populaires de cartographie en ligne : une étude de cas faisant appel à l’indicateur de qualité de vie de l’Argentine,"Une comparaison des bibliothèques de cartographie en ligne, à savoir Mapbox GL JS, OpenLayers et Leaflet, sur un matériel varié et au moyen de différents formats de données pour mettre en œuvre des cartes Web (vecteur, matrice et données brutes). Dans l’évaluation, on examine les différents niveaux de soutien pour ces formats, les différences de rendement par rapport au temps d’exécution de la carte et l’utilisation du réseau, et l’on compare les trois différentes bibliothèques.",https://www.mdpi.com/2220-9964/9/10/563,,2020-09-29,fr,21-Jan,"revue, méthodes, visuels",
Google threatens to withdraw search engine from Australia,,https://www.bbc.co.uk/news/world-australia-55760673,,,en,21-Jan,"news, industry",
Google menace de retirer son moteur de recherche d'Australie,,https://www.bbc.co.uk/news/world-australia-55760673,,,fr,21-Jan,"nouvelles, industrie",
QGIS Training Videos,QGIS training from Agriculture division.,https://www150.statcan.gc.ca/n1/en/catalogue/89200005,,,en,21-Jan,"methods, agriculture, statcan, visuals",
Vidéos de formation QGIS,Formation QGIS de la Division de l'agriculture.,https://www150.statcan.gc.ca/n1/fr/catalogue/89200005,,,fr,21-Jan,"méthodes, agriculture, statcan, visuels",
How climate action can benefit from Indigenous tradition of '7th-generation decision-making',Considerations of how Science can learn from Indigenous Knowledge for climate action.,https://www.cbc.ca/news/technology/what-on-earth-indigenous-seventh-generation-thinking-climate-action-1.5882480,,,en,21-Jan,"environment, news",
Comment la lutte contre les changements climatiques peut-elle bénéficier de la tradition autochtone de la « prise de décisions de la 7e génération » ?,Considérations sur la manière dont la science peut tirer des enseignements du savoir autochtone pour l'action climatique.,https://www.cbc.ca/news/technology/what-on-earth-indigenous-seventh-generation-thinking-climate-action-1.5882480,,,fr,21-Jan,"nouvelles, environnement",
CSBP Updates the Linkable Open Data Environment (LODE) Viewer,"The Linkable Open Data Environment (LODE) Viewer now has building footprints for all of Canada! This is a visualization of an integrated database of about 13.5 million building polygons, sourced from the Statistics Canada Open Database of Buildings (ODB) and complemented with Microsoft and OpenStreetMap building footprints. All data sources are open data.
",https://stc-ndm-prod-wc.statcan.gc.ca/n1/pub/71-607-x/71-607-x2020014-eng.htm,,,en,21-Jan,"news, visuals, statcan, data",
CPSE met à jour le Visualiseur de l'environnement de couplage de données ouvertes (ECDO),"Le Visualiseur de l’Environnement de couplage de données ouvertes (ECDO) présente maintenant des empreintes d’immeubles pour tout le Canada ! Il s’agit de la visualisation d’une base de données intégrée renfermant environ 13,5 millions de polygones d’immeubles, tirée de la Base de données ouvertes sur les immeubles (BDOI) de Statistique Canada, à laquelle sont ajoutées les empreintes d’immeubles de Microsoft (en anglais seulement) et d’OpenStreetMap. Toutes les sources de données sont les données ouvertes.
",https://stc-ndm-prod-wc.statcan.gc.ca/n1/pub/71-607-x/71-607-x2020014-fra.htm,,,fr,21-Jan,"nouvelles, visuels, statcan, données",
New open source GIS projects for Kubernetes applications,Leveraging open source and 'the' cloud for map tiling services.,https://opensource.com/article/20/4/gis-kubernetes,,,en,21-Jan,"blog, methods, visuals",
Nouveaux projets de SIG à source ouverte pour les applications Kubernetes,Exploiter les sources ouvertes et l'infonuagique pour les services de cartographie.,https://opensource.com/article/20/4/gis-kubernetes,,,fr,21-Jan,"blog, méthodes, visuels",
Training - Introduction to the FGP and Geospatial Data,"The Federal Geospatial Platform (FGP) is offering several geographic information system (GIS) training sessions to all federal government employees. The training provides the hands-on opportunity to custom build maps, create geospatial data, and collaborate with your colleagues from other departments.",https://gcconnex.gc.ca/event_calendar/view/74178402/training-introduction-to-the-fgp-and-geospatial-data-english-formation-introduction-a-la-pgf-et-aux-donnees-geospatiales-anglais?language=en,,,en,21-Jan,event,
Formation - Introduction à la PGF et aux données géospatiales,"La Plateforme géospatiale fédérale (PGF) offre plusieurs séances de formation sur les systèmes d'information géographique (SIG) à tous les employés du gouvernement fédéral. La formation offre la possibilité de créer des cartes personnalisées, de créer des données géospatiales et de collaborer avec vos collègues d’autres ministères.",https://gcconnex.gc.ca/event_calendar/view/74179950/training-introduction-to-the-fgp-and-geospatial-data-french-formation-introduction-a-la-pgf-et-aux-donnees-geospatiales-francais?language=en,,,fr,21-Jan,événement,
CCTTS Presentation on network distance modeling using Valhalla and pgRouting,,https://gcdocs.gc.ca/statcan/llisapi.dll/link/12897882,,,en,21-Jan,"statcan, methods",
Présentation du CCSTT sur la modélisation de la distance du réseau à l'aide de Valhalla et de pgRouting,,https://gcdocs.gc.ca/statcan/llisapi.dll/link/12897882,,,fr,21-Jan,"statcan, méthodes",
Data Conference 2021: An Integrated Data Community for Building Back Better,"On February 18 and 19, 2021, join the Canada School of Public Service and Immigration, Refugees and Citizenship Canada as they co-host the fifth annual Government of Canada Data Conference. The theme of the conference is ""An Integrated Data Community for Building Back Better"".",https://www.csps-efpc.gc.ca/events/data-conference2021/index-eng.aspx,,,en,21-Jan,event,
Conférence sur les données 2021 : Une communauté des données intégrée pour rebâtir en mieux,"Les 18 et 19 février 2021, joignez-vous à l'École de la fonction publique du Canada et à Immigration, Réfugiés et Citoyenneté Canada qui organisent conjointement la cinquième Conférence annuelle sur les données du gouvernement du Canada. Le thème de la conférence de cette année est « Une communauté des données intégrée pour rebâtir en mieux ».",https://www.csps-efpc.gc.ca/events/data-conference2021/index-fra.aspx,,,fr,21-Jan,événement,
EIA releases new U.S. Energy Atlas with updated maps and enhanced navigation,"The U.S. Energy Information Administration's new Energy Atlas features maps of energy infrastructure, such as coal mines and power plants, as well as an open data catalogue.",https://www.eia.gov/todayinenergy/detail.php?id=45697,,,en,21-Jan,visuals,
L'EIA publie le nouvel atlas énergétique des États-Unis avec des cartes révisées et une navigation améliorée,"Le nouvel atlas énergétique de l'Energy Information Administration américain présente des cartes des infrastructures énergétiques, telles que les mines de charbon et les centrales électriques, ainsi qu'un catalogue de données ouvert.",https://www.eia.gov/todayinenergy/detail.php?id=45697,,,fr,21-Jan,visuels,
Neural Network for Satellite Data Classification Using Tensorflow in Python,"Using the example of classifying urban built-up areas in Landsat 5 imagery, this article provides the steps required for classifying satellite imagery with Tensorflow. Specifically it details; how to prepare the input data, splitting data into training and testing sets, defining a new model, and discussion of the model results and how it could be improved.",https://towardsdatascience.com/neural-network-for-satellite-data-classification-using-tensorflow-in-python-a13bcf38f3e1,2021-02-18,2019-09-11,en,21-Feb,blog,
Réseau neuronal pour la classification des données satellitaires utilisant Tensorflow en Python,"En utilisant l’exemple de la classification des zones urbaines bâties dans l’imagerie Landsat 5, cet article présente les étapes nécessaires à la classification de l’imagerie satellitaire avec Tensorflow. Plus précisément, il décrit la marche à suivre pour préparer les données d’entrée, répartir les données en ensembles de formation et d’essai, définir un nouveau modèle et discuter des résultats du modèle et de la manière de l’améliorer.",https://towardsdatascience.com/neural-network-for-satellite-data-classification-using-tensorflow-in-python-a13bcf38f3e1,2021-02-18,2019-09-11,fr,21-Feb,blog,
Parking Lot Vehicle Detection Using Deep Learning,"An exploration of how to perform vehicle object detection with drone aerial photographs using both the classification model InceptionV3 and Faster-RCNN. The article provides a workflow for acquiring data, processing the data using Tensorflow and ArcGIS Pro, and examples of how the data can be visualized.",https://medium.com/geoai/parking-lot-vehicle-detection-using-deep-learning-49597917bc4a,2021-02-18,2018-08-27,en,21-Feb,blog,
Détection des véhicules dans les parcs de stationnement au moyen de l’apprentissage profond,"Cet article traite de la façon de procéder à la détection de véhicules à l’aide de photographies aériennes de drones en utilisant les deux modèles de classification InceptionV3 et Faster-RCNN. Il fournit un flux opérationnel pour l’acquisition des données et le traitement des celles-ci à l’aide de Tensorflow et d’ArcGIS Pro, ainsi que des exemples de visualisation des données. ",https://medium.com/geoai/parking-lot-vehicle-detection-using-deep-learning-49597917bc4a,2021-02-18,2018-08-27,fr,21-Feb,blog,
Pandemic Induced Changes in Economic Activity around African Protected Areas Captured through Night-Time Light Data,"Using night-time light data provided by the Visible Infrared Imaging Radiometer Suite (VIIRS), protected areas in Africa were examined to see how light emissions changed with the emergence of the Covid-19 Pandemic between 2019 and 2020. Using VIIRS data, it was demonstrated that a significant reduction of night-time light had occurred in these protected areas, and that this approach provides a low cost method of determining the economic impact of Covid-19 on Africa’s tourism industry.",https://www.mdpi.com/2072-4292/13/2/314,,2021-01-18,en,21-Feb,industry,
Détermination de changements induits par la pandémie dans l’activité économique aux environs des zones protégées africaines grâce aux données sur la lumière nocturne,"En utilisant les données sur la lumière nocturne recueillies au moyen de la suite de radiomètres pour imageeurs dans l’infrarouge et le visible (VIIRS), on a pu examiner les zones protégées d’Afrique pour déterminer comment les émissions de lumière ont changé avec l’émergence de la pandémie de COVID-19 entre 2019 et 2020. En utilisant les données de la VIIRS, il a été démontré qu’une réduction significative de la lumière nocturne s’était produite dans ces zones protégées, et que cette approche fournit une méthode peu coûteuse pour déterminer les répercussions économiques de la COVID-19 sur l’industrie du tourisme en Afrique.",https://www.mdpi.com/2072-4292/13/2/314,,2021-01-18,fr,21-Feb,industrie,
Geomatics Techniques for Submerged Heritage: a Mobile App for Tourism,"Using a combination of virtualization technologies and geomatic techniques, a mobile app was developed to provide an immersive experience for exploring the archaeological site Calarcheo Park, near Reggio Calabria, Italy. ",https://www.semanticscholar.org/paper/Geomatics-Techniques-for-Submerged-Heritage%3A-a-App-Barrile-Fotia/c8963a67263b216e0c908d4e326f6157045b3ad4,,2020-07-29,en,21-Feb,"industry, methods",
Techniques de géomatique pour le patrimoine submergé : une application mobile pour le tourisme,"Grâce à une combinaison de technologies de virtualisation et de techniques de géomatique, on a mis au point une application mobile offrant une expérience immersive pour l’exploration du site archéologique du parc Calarcheo, près de Reggio Calabria en Italie. ",https://www.semanticscholar.org/paper/Geomatics-Techniques-for-Submerged-Heritage%3A-a-App-Barrile-Fotia/c8963a67263b216e0c908d4e326f6157045b3ad4,,2020-07-29,fr,21-Feb,"industrie, méthodes",
Geographic Citizen Science Design,"This open source book has chapters written from various Geographic Information Science academics informing on best practices for designing a citizen science project, that is projects that engage citizens to collection geographic data!",https://www.uclpress.co.uk/products/125702#,,,en,21-Feb,methods,
Project Sidewalk,"Project Sidewalk is a multi-stakeholder crowdsourcing project that seeks to collect labels of sidewalk obstructions (e.g., uneven surfaces or a missing curb ramp) for inclusive wayfinding. The Makeability Lab at the University of Washington is working on automated machine learning techniques to validate crowdsourced labels and to eventually automate the collection of the labels.",https://sidewalk-sea.cs.washington.edu/,,,en,21-Feb,"methods, data",
Machine Learning in Tourism,"This academic paper documents machine learning techniques applied in tourism, specifically on trip stages.",,,,en,21-Feb,"methods, journal",
"B.C.’s old-growth forest nearly eliminated, new provincewide mapping reveals",Interactive web map developed by a Prince George-based group Conservation North to visualize government forestry data within British Columbia.,https://thenarwhal.ca/bc-forests-old-growth-impacts-map/,,,en,21-Feb,"visuals, environment, data, news",
Azure Maps,"This is not a promotion for Azure Maps, but it is an opportunity to see how there are new features for GIS and remote sensing within Azure.",https://azure.microsoft.com/en-us/services/azure-maps/,,,en,21-Feb,"methods, visuals",
Processing Geospatial Data at Scale With Databricks,How databricks can be used in the cloud to scale geoprocessing.,https://databricks.com/blog/2019/12/05/processing-geospatial-data-at-scale-with-databricks.html,,,en,21-Feb,"methods, data, blog",
Modernizing SDI: Data Interoperability for Cumulative Effects CDS,"The Federal Geospatial Platform, as part of the Canada Centre for Mapping and Earth Observation Branch (CCMEO) of Natural Resources Canada, is working to enable federal, provincial, territorial and First Nations/Indigenous partners concerned with cumulative effects and regional assessments to establish consensus and implement common, open standards-based approaches that leverage emerging technological capabilities, leading to new levels of digital data interoperability. They are suggesting frameworks and standards for machine learning techniques applied.",https://www.ogc.org/mod-sdi,,,en,21-Feb,"news, methods, data",
From Spatial Data Infrastructures to Data Spaces—A Technological Perspective on the Evolution of European SDIs,Overview of the European spatial data infrastructure and well as proposal on future development.,https://doi.org/10.3390/ijgi9030176,,,en,21-Feb,"journal, methods",
MDA working on RADARSAT-2 continuity mission,"""Canadian satellite major MDA is building a new commercial Synthetic Aperture Radar (SAR) satellite mission to build up on its RADARSAT-2 program. The new mission will build upon its existing space-based C-band SAR technology, and will provide operational continuity for its existing RADARSAT-2 customers, including commercial, government and institutional clients.""",https://www.geospatialworld.net/blogs/mda-working-on-radarsat-2-continuity-mission/,,,en,21-Feb,"methods, data",
MapScaping Podcast,"Weekly podcast on topics related to GIS and remote sensing. For example, they discuss topics relate to modern GIS techniques like spatial SQL and elastic search.",https://mapscaping.com/,,,en,21-Feb,"news, methods",
Simple GPS data visualization using Python and Open Street Maps,Tutorial on visualizing GPS data with Python packages like pandas.,https://towardsdatascience.com/simple-gps-data-visualization-using-python-and-open-street-maps-50f992e9b676,,,en,21-Feb,"methods, data",
La conception des sciences participatives géographiques,"Ce livre de source ouvert contient des chapitres rédigés par divers universitaires en sciences de l'information géographique qui informent sur les pratiques exemplaires pour concevoir un projet de sciences participatives, c'est-à-dire des projets qui engagent les citoyens à collecter des données géographiques !",https://www.uclpress.co.uk/products/125702#,,,fr,21-Feb,méthodes,
Projet trottoir,"Project Sidewalk est un projet d'approche participative multilatérale qui cherche à collecter des étiquettes d'obstructions de trottoirs (par exemple, des surfaces inégales ou une rampe de trottoir manquante) pour une orientation inclusive. Le Makeability Lab de l'université de Washington travaille sur des techniques d'apprentissage automatique pour valider les étiquettes provenant de la foule et pour finalement automatiser la collecte des étiquettes.",https://sidewalk-sea.cs.washington.edu/,,,fr,21-Feb,"méthodes, données",
L'apprentissage automatique dans le tourisme,"Cet article académique documente les techniques d'apprentissage automatique appliquées au tourisme, en particulier lors des étapes du voyage.",,,,fr,21-Feb,"méthodes, journal",
"La forêt ancienne de la Colombie-Britannique a presque disparu, selon une nouvelle cartographie provinciale","Carte web interactive développée par un groupe de Prince George, Conservation North, pour visualiser les données forestières du gouvernement en Colombie-Britannique.",https://thenarwhal.ca/bc-forests-old-growth-impacts-map/,,,fr,21-Feb,"visuels, environnement, nouvelles, données",
Azure Maps,"Ce n'est pas une promotion pour Azure Maps, mais c'est une opportunité de voir comment il y a de nouvelles fonctionnalités pour les SIG et la télédétection en Azure.",https://azure.microsoft.com/fr-fr/services/azure-maps/,,,fr,21-Feb,"méthodes, visuels",
Le traitement des données géospatiales à l'échelle avec Databricks,Comment utiliser Databricks dans le nuage pour mettre à l'échelle le géotraitement.,https://databricks.com/blog/2019/12/05/processing-geospatial-data-at-scale-with-databricks.html,,,fr,21-Feb,"méthodes, données, blog",
Modernisation de l’infrastructure de données spatiales : étude d’élaboration de concept visant à faciliter l’interopérabilité des données sur les effets cumulatifs,"La Plateforme géospatiale fédérale , qui fait partie du Centre canadien de cartographie et d’observation de la Terre (CCCOT) de Ressources naturelles Canada, vise à permettre aux partenaires fédéraux, provinciaux, territoriaux et autochtones/des Premières nations concernés par les effets cumulatifs et les évaluations régionales d'établir un consensus et de mettre en œuvre des approches communes, fondées sur des normes ouvertes, qui tirent parti des nouvelles capacités technologiques, ce qui conduit à de nouveaux niveaux d'interopérabilité des données numériques. Ils suggèrent des cadres et des normes pour les techniques d'apprentissage automatique appliquées.",https://www.ogc.org/mod-sdi,,,fr,21-Feb,"nouvelles, méthodes, données",
Des infrastructures de données spatiales aux espaces de données - Une perspective technologique sur l'évolution des IDS européens,Aperçu de l'infrastructure européenne de données spatiales et proposition sur le développement futur.,https://doi.org/10.3390/ijgi9030176,,,fr,21-Feb,"méthodes, données",
Podcast MapScaping,"Podcast hebdomadaire sur des sujets liés aux SIG et à la télédétection. Par exemple, ils abordent des sujets liés aux techniques SIG modernes comme le SQL spatial et la recherche élastique.",https://mapscaping.com/,,,fr,21-Feb,"nouvelles, méthodes",
Visualisation simple des données GPS à l'aide de Python et de Open Street Maps,Tutoriel sur la visualisation des données GPS avec des progiciels Python comme pandas.,https://towardsdatascience.com/simple-gps-data-visualization-using-python-and-open-street-maps-50f992e9b676,,,fr,21-Feb,"méthodes, données",
Deep Learning with Open Data for Desert Road Mapping,Using open SAR data for a cost-effective approach to road detection and monitoring in regions affected by shifting desert sands.,https://www.mdpi.com/2072-4292/12/14/2274/htm,,,en,21-Feb,"methods, journal",
Apprentissage profond avec des données ouvertes pour la cartographie routière des déserts,Utilisation de données SRO ouvertes pour une approche économique de la détection et de la surveillance des routes dans les régions touchées par le déplacement des sables du désert.,https://www.mdpi.com/2072-4292/12/14/2274/htm,,,fr,21-Feb,"méthodes, journal",
Webinar - Radarsat Constellation Mission: Opportunities for infrastructure monitoring,"February 25, 2021, 12PM, presented by Dr. Vern Singhroy, an internationally recognized expert on radar remote sensing applications.  The main objective of the RADARSAT Constellation Mission is to meet Government of Canada User Department's needs and requirements for Maritime Surveillance, Disaster Management, Ecosystem Monitoring and Northern Development. This presentation will focus on selective case studies and future research directions within and outside Canada to demonstrate the potential of InSAR for monitoring critical energy and transportation corridors and infrastructure. ",https://arts.uottawa.ca/geography/research/phipps-langlois-seminars#,,,en,21-Feb,event,
Webinaire - Mission de la Constellation RADARSAT: les possibilités de surveillance des infrastructures,"25 février, 2021, 12h, présenté par Dr. Vern Singhroy, un expert de renommée internationale en matière d'applications de télédétection radar. L'objectif principal de la mission de la Constellation RADARSAT est de répondre aux besoins et aux exigences des ministères utilisateurs du gouvernement du Canada en matière de surveillance maritime, de gestion des catastrophes, de surveillance des écosystèmes et de développement du Nord. Cette présentation se concentrera sur des études de cas sélectionnées et sur les futures orientations de la recherche au Canada et à l'étranger afin de démontrer le potentiel de l'InSAR pour la surveillance des infrastructures et des corridors énergétiques et de transport essentiels.",https://arts.uottawa.ca/geographie/recherche/seminaires-phipps-langlois,,,fr,21-Feb,événement,
